Datetime,Latitude,Longitude,T2M,QV2M,PS,WS10M,PRECTOT,CLRSKY_SFC_SW_DWN,hour,day,month,season,PRECTOTCORR,Predicted_T2M,Predicted_QV2M,Predicted_PS,Predicted_WS10M,Predicted_PRECTOT,Predicted_CLRSKY_SFC_SW_DWN
2024-07-25 23:00:00,10,102,100.69,29.93,6.42,0.0,18.94,36.05,23,25,7,3,18.94,0.54025817,0.5363147,0.53751993,0.50141585,0.4929257,0.0020626253
2024-07-25 23:00:00,10,103,29.38,4.91,0.0,20.94,100.69,32.6,23,25,7,3,100.69,0.6850864,0.5203827,0.5276218,0.504177,0.480803,0.0021664412
2024-07-25 23:00:00,10,104,20.36,5.21,0.0,28.99,100.68,27.64,23,25,7,3,100.68,0.6896833,0.5202583,0.5260463,0.50290704,0.48123857,0.0021756634
2024-07-25 23:00:00,10,105,20.67,0.0,26.96,3.38,100.68,23.48,23,25,7,3,100.68,0.4912425,0.5021787,0.52887326,0.49711213,0.6946646,0.0024214466
2024-07-25 23:00:00,10,106,100.71,26.09,3.3,0.0,20.23,7.82,23,25,7,3,20.23,0.5351206,0.5381928,0.5373434,0.50240874,0.48813683,0.0020686053
2024-07-25 23:00:00,10,107,100.72,27.91,5.79,0.0,20.94,4.62,23,25,7,3,20.94,0.53717136,0.5383444,0.5366271,0.50217116,0.48825014,0.002067389
2024-07-25 23:00:00,10,108,100.68,28.82,8.71,0.0,21.21,4.99,23,25,7,3,21.21,0.53842074,0.53852785,0.536048,0.50179297,0.48823908,0.0020692851
2024-07-25 23:00:00,10,109,0.0,9.35,28.63,21.42,100.65,7.13,23,25,7,3,100.65,0.49931294,0.50347704,0.5214311,0.75668633,0.4873543,0.0021945732
2024-07-25 23:00:00,10,110,0.0,9.75,28.54,22.09,100.61,7.59,23,25,7,3,100.61,0.49926403,0.5034917,0.519842,0.7544073,0.48728138,0.0021876295
2024-07-25 23:00:00,10,111,22.39,10.34,29.02,0.0,100.57,3.01,23,25,7,3,100.57,0.5613469,0.5368198,0.54098356,0.48982298,0.48784497,0.0020873926
2024-07-25 23:00:00,10,112,22.58,0.0,100.57,10.22,29.12,4.59,23,25,7,3,29.12,0.49714786,0.5292971,0.48521662,0.49996004,0.6922946,0.0026167275
2024-07-25 23:00:00,10,113,9.95,0.0,29.36,22.2,100.64,3.01,23,25,7,3,100.64,0.4917091,0.50530845,0.52773833,0.49453428,0.6936703,0.0024399243
2024-07-25 23:00:00,10,114,22.0,0.0,29.5,9.71,100.66,3.02,23,25,7,3,100.66,0.49098,0.50282764,0.52917117,0.49711093,0.6915917,0.0024274471
2024-07-25 23:00:00,10,115,0.0,9.05,29.25,22.07,100.69,4.91,23,25,7,3,100.69,0.497969,0.50303894,0.53189874,0.76021135,0.48923624,0.0022301585
2024-07-25 23:00:00,10,116,22.2,100.72,0.0,29.09,8.89,4.99,23,25,7,3,8.89,0.6588297,0.5261121,0.4956244,0.49958578,0.50914323,0.0021580982
2024-07-25 23:00:00,10,117,22.03,100.73,0.0,29.23,8.81,4.68,23,25,7,3,8.81,0.66270727,0.5263137,0.49533945,0.49893886,0.50907713,0.0021611694
2024-07-25 23:00:00,10,118,7.4,0.0,21.26,29.33,100.54,4.64,23,25,7,3,100.54,0.4916801,0.5065582,0.5268396,0.4939108,0.702021,0.002442615
2024-07-25 23:00:00,11,102,7.55,0.0,19.78,29.85,100.66,33.15,23,25,7,3,100.66,0.4916136,0.5057366,0.5270199,0.4942862,0.70120597,0.002441615
2024-07-25 23:00:00,11,103,4.2,0.0,19.47,27.59,100.48,57.45,23,25,7,3,100.48,0.49194285,0.50628215,0.5264718,0.4936006,0.70205164,0.0024437911
2024-07-25 23:00:00,11,104,18.76,24.82,98.82,0.0,2.35,75.15,23,25,7,3,2.35,0.61891603,0.5439798,0.48647964,0.48044226,0.50181866,0.0021971022
2024-07-25 23:00:00,11,105,2.48,0.0,19.24,25.07,100.61,10.97,23,25,7,3,100.61,0.49197322,0.5060498,0.52668715,0.49373075,0.70233816,0.0024399199
2024-07-25 23:00:00,11,106,19.38,25.07,100.59,0.0,2.19,2.11,23,25,7,3,2.19,0.61983347,0.54515827,0.4878316,0.4791719,0.5011626,0.0022046827
2024-07-25 23:00:00,11,107,19.34,24.95,100.18,0.0,2.63,3.87,23,25,7,3,2.63,0.6208893,0.5454194,0.48782298,0.47897744,0.5012752,0.0022066156
2024-07-25 23:00:00,11,108,5.71,25.24,0.0,19.15,98.85,8.66,23,25,7,3,98.85,0.693208,0.51924944,0.5210195,0.5048115,0.48450837,0.0021793612
2024-07-25 23:00:00,11,109,0.0,8.92,99.9,20.06,27.01,12.54,23,25,7,3,27.01,0.5032933,0.5119764,0.5095133,0.7544743,0.4897161,0.002265548
2024-07-25 23:00:00,11,110,27.74,11.88,0.0,100.51,21.02,8.3,23,25,7,3,21.02,0.6928951,0.5329442,0.4980494,0.50792205,0.48275155,0.002139127
2024-07-25 23:00:00,11,111,21.58,100.49,12.06,0.0,28.63,2.6,23,25,7,3,28.63,0.5444108,0.5379315,0.51035327,0.4877568,0.5102162,0.0021138317
2024-07-25 23:00:00,11,112,29.04,12.03,0.0,100.49,21.71,2.72,23,25,7,3,21.71,0.696083,0.5331828,0.49759158,0.5066815,0.48268682,0.002139438
2024-07-25 23:00:00,11,113,11.36,0.0,29.14,21.94,100.56,3.15,23,25,7,3,100.56,0.49161103,0.5050388,0.52784795,0.49487492,0.69545907,0.0024409457
2024-07-25 23:00:00,11,114,11.05,0.0,29.19,21.84,100.58,3.05,23,25,7,3,100.58,0.4916536,0.50508356,0.52779156,0.4948756,0.69796705,0.002441569
2024-07-25 23:00:00,11,115,21.75,100.62,10.27,0.0,29.28,5.29,23,25,7,3,29.28,0.5329921,0.536707,0.5172202,0.49217403,0.51005834,0.002081485
2024-07-25 23:00:00,11,116,9.99,100.65,0.0,22.01,29.09,5.58,23,25,7,3,29.09,0.6649936,0.5245391,0.5013203,0.5010495,0.5062671,0.002162253
2024-07-25 23:00:00,11,117,29.03,100.67,9.94,0.0,21.94,6.31,23,25,7,3,21.94,0.5334031,0.5386592,0.5121604,0.49354982,0.509212,0.0020886112
2024-07-25 23:00:00,11,118,21.86,100.69,29.22,0.0,9.61,8.23,23,25,7,3,9.61,0.5404707,0.54448843,0.49318138,0.48845312,0.5156468,0.0021309003
2024-07-25 23:00:00,12,102,19.82,100.64,0.0,29.52,8.21,23.8,23,25,7,3,8.21,0.66920483,0.52552843,0.49299467,0.49520844,0.50882494,0.0022055095
2024-07-25 23:00:00,12,103,2.14,18.05,0.0,95.77,23.05,69.5,23,25,7,3,23.05,0.6744616,0.5328531,0.49489313,0.5014857,0.48831424,0.002199118
2024-07-25 23:00:00,12,104,2.49,0.0,22.84,17.4,96.2,40.46,23,25,7,3,96.2,0.49225235,0.5056106,0.52671874,0.49406463,0.7089741,0.002446613
2024-07-25 23:00:00,12,105,3.41,0.0,25.07,19.12,100.47,3.09,23,25,7,3,100.47,0.49228707,0.5053555,0.5270696,0.4940867,0.70737195,0.0024420298
2024-07-25 23:00:00,12,106,1.89,0.0,24.65,19.0,99.88,3.42,23,25,7,3,99.88,0.49228042,0.5056152,0.5267344,0.49404666,0.70582116,0.0024422752
2024-07-25 23:00:00,12,107,18.81,98.56,0.0,24.05,1.38,7.68,23,25,7,3,1.38,0.6810138,0.526319,0.49121127,0.49381256,0.5066753,0.0022273788
2024-07-25 23:00:00,12,108,20.61,90.88,3.41,0.0,16.29,7.27,23,25,7,3,16.29,0.5426654,0.5407392,0.5044121,0.48739818,0.5108735,0.0021205116
2024-07-25 23:00:00,12,109,4.14,0.0,22.4,16.24,93.19,3.67,23,25,7,3,93.19,0.49278176,0.5054234,0.52658474,0.49484903,0.7111757,0.0024444896
2024-07-25 23:00:00,12,110,0.0,27.99,21.64,11.42,100.33,2.42,23,25,7,3,100.33,0.4990384,0.50227433,0.52024996,0.7555821,0.4878385,0.002185903
2024-07-25 23:00:00,12,111,28.38,100.4,13.06,0.0,21.3,3.55,23,25,7,3,21.3,0.5416357,0.53897226,0.50791985,0.4893251,0.50983596,0.0021150562
2024-07-25 23:00:00,12,112,13.0,0.0,28.68,21.42,100.38,3.62,23,25,7,3,100.38,0.4929623,0.5046554,0.52699184,0.49516302,0.69513774,0.0024221358
2024-07-25 23:00:00,12,113,12.39,0.0,28.92,21.61,100.46,3.73,23,25,7,3,100.46,0.49156493,0.5048822,0.52790964,0.49501222,0.6964577,0.00244158
2024-07-25 23:00:00,12,114,12.03,0.0,29.0,21.68,100.48,3.7,23,25,7,3,100.48,0.49160752,0.5049239,0.5278491,0.4950112,0.69880176,0.0024419525
2024-07-25 23:00:00,12,115,29.11,0.0,11.25,21.55,100.55,6.41,23,25,7,3,100.55,0.4896848,0.502458,0.52955294,0.49858123,0.6914065,0.0024223356
2024-07-25 23:00:00,12,116,10.93,100.58,0.0,21.73,29.08,8.41,23,25,7,3,29.08,0.6648139,0.5244492,0.5017854,0.50129336,0.50666314,0.0021602989
2024-07-25 23:00:00,12,117,29.06,100.6,0.0,10.8,21.81,8.25,23,25,7,3,21.81,0.67089057,0.5241789,0.5016547,0.5050237,0.51003087,0.0021631678
2024-07-25 23:00:00,12,118,10.66,100.63,0.0,21.88,29.14,7.35,23,25,7,3,29.14,0.6721243,0.52498525,0.5010362,0.5003644,0.5064895,0.002164354
2024-07-25 23:00:00,13,102,2.29,99.03,0.0,19.1,24.73,5.51,23,25,7,3,24.73,0.66973203,0.523508,0.49808767,0.49780977,0.5040131,0.0022148278
2024-07-25 23:00:00,13,103,24.93,100.01,0.0,19.0,2.89,6.47,23,25,7,3,2.89,0.67379224,0.5250376,0.49321854,0.49668342,0.5101553,0.002209727
2024-07-25 23:00:00,13,104,0.0,25.91,19.34,100.39,3.14,4.19,23,25,7,3,3.14,0.49904305,0.516282,0.51423794,0.76317084,0.4926416,0.0023178246
2024-07-25 23:00:00,13,105,0.0,26.27,18.72,99.97,2.02,1.16,23,25,7,3,2.02,0.49903286,0.5162812,0.5131287,0.7634808,0.49259058,0.002313172
2024-07-25 23:00:00,13,106,0.0,19.84,99.53,2.25,25.23,3.53,23,25,7,3,25.23,0.50219494,0.51130176,0.51413506,0.7648082,0.49057665,0.0022920396
2024-07-25 23:00:00,13,107,3.15,98.57,0.0,19.36,24.59,4.16,23,25,7,3,24.59,0.6797693,0.5246071,0.49736676,0.49770504,0.5024605,0.002217801
2024-07-25 23:00:00,13,108,3.56,96.06,0.0,18.79,23.76,3.62,23,25,7,3,23.76,0.68378127,0.5248803,0.4972335,0.49787337,0.50221145,0.0022158083
2024-07-25 23:00:00,13,109,4.92,95.65,0.0,18.56,24.1,1.53,23,25,7,3,24.1,0.68671566,0.5253213,0.4975142,0.49738526,0.5027014,0.0022108248
2024-07-25 23:00:00,13,110,22.01,29.1,100.28,8.09,0.0,0.67,23,25,7,3,0.0,0.5018164,0.52148545,0.7313429,0.51006687,0.4898936,0.0022614868
2024-07-25 23:00:00,13,111,28.45,100.29,12.13,0.0,21.8,5.0,23,25,7,3,21.8,0.539287,0.53926283,0.5095666,0.49026713,0.50845695,0.0021070307
2024-07-25 23:00:00,13,112,21.65,28.57,100.3,12.7,0.0,4.77,23,25,7,3,0.0,0.5022669,0.52215457,0.72756875,0.5115711,0.48976403,0.0022611222
2024-07-25 23:00:00,13,113,21.65,28.7,100.36,12.48,0.0,6.87,23,25,7,3,0.0,0.5043839,0.5200791,0.71279675,0.51484376,0.49038044,0.0022997363
2024-07-25 23:00:00,13,114,100.39,28.77,21.61,0.0,12.3,5.66,23,25,7,3,12.3,0.53599286,0.5412388,0.530599,0.50375986,0.489826,0.0020751471
2024-07-25 23:00:00,13,115,100.46,28.92,21.44,0.0,11.8,15.62,23,25,7,3,11.8,0.53531796,0.5418224,0.53032464,0.5037295,0.48902467,0.0020803232
2024-07-25 23:00:00,13,116,21.61,29.02,100.5,11.64,0.0,21.79,23,25,7,3,0.0,0.5033737,0.52027845,0.7263416,0.5143055,0.4904939,0.0022895923
2024-07-25 23:00:00,13,117,21.69,29.05,100.52,11.53,0.0,24.58,23,25,7,3,0.0,0.5031219,0.52021044,0.72767085,0.51423424,0.49044135,0.002285625
2024-07-25 23:00:00,13,118,29.14,100.57,0.0,11.28,21.74,15.56,23,25,7,3,21.74,0.67239124,0.5242905,0.50177336,0.50457644,0.51047873,0.0021628966
2024-07-25 23:00:00,14,102,99.05,24.55,18.87,0.0,3.23,2.47,23,25,7,3,3.23,0.5403112,0.54203993,0.52733696,0.49924946,0.49317417,0.0020747003
2024-07-25 23:00:00,14,103,24.76,99.6,3.39,0.0,18.86,2.65,23,25,7,3,18.86,0.53591996,0.5353363,0.51253474,0.4901922,0.50969106,0.0021086545
2024-07-25 23:00:00,14,104,99.4,25.04,19.23,0.0,2.86,0.66,23,25,7,3,2.86,0.5402542,0.54268354,0.52577543,0.4988879,0.49170837,0.0020827116
2024-07-25 23:00:00,14,105,98.87,24.62,18.78,0.0,2.3,1.32,23,25,7,3,2.3,0.5398116,0.5434937,0.524863,0.49883682,0.49117,0.002084903
2024-07-25 23:00:00,14,106,20.04,25.16,1.5,99.27,0.0,7.97,23,25,7,3,0.0,0.4869978,0.52890193,0.7291044,0.5057186,0.4909746,0.002253183
2024-07-25 23:00:00,14,107,24.73,98.17,0.0,1.45,19.63,6.16,23,25,7,3,19.63,0.6883673,0.52363634,0.4997725,0.50308233,0.507221,0.0022103207
